wise_designation,ps_ra,ps_dec
J131644.03-253810.4,199.1835,-25.6362
J131725.04-184230.7,199.35432,-18.70854
J131843.19+382334.4,199.67997,38.39287
J131912.39+534720.5,199.8017,53.78905
J131914.20+520200.1,199.8092,52.03334
J131923.90-002620.5,199.84961,-0.43902
J132029.96-052335.3,200.12488,-5.39316
J132255.66+391208.0,200.73194,39.20221
J132611.85+074358.3,201.54938,7.73288
J132845.01+510225.8,202.18755,51.04052
J132956.95-045221.6,202.48733,-4.87271
J133040.38+355526.0,202.66829,35.92389
J133312.10+222818.9,203.3005,22.47196
J133342.56+123352.7,203.42737,12.56463
J133448.71+521318.0,203.70296,52.22167
J133647.14-004857.1,204.19643,-0.81585
J133757.86+021821.0,204.49115,2.30581
J133820.11+561150.5,204.58365,56.19734
J133932.33+361340.8,204.88449,36.22795
J133941.94+054822.2,204.9248,5.80616
J134233.24+170247.0,205.6385,17.0464
J134247.18+634738.1,205.69666,63.79392
J134440.06+283100.5,206.16696,28.51684
J134743.30+495621.2,206.93039,49.93923
J134811.76+281801.7,207.04904,28.30051
J135127.51+263410.6,207.86473,26.56964
J135832.27-284835.4,209.63447,-28.80986
J140013.85+385418.0,210.0577,38.90499
J140015.14-034416.3,210.06313,-3.73792
J140437.93-022137.5,211.15809,-2.36041
J140644.48+204305.0,211.68532,20.71807
J140747.21+645419.9,211.94681,64.90553
J140801.82-275820.3,212.00757,-27.97232
J140838.91+120709.7,212.16219,12.11935
J140854.23+582446.3,212.22592,58.41287
J141142.77-241313.3,212.9282,-24.22041
J141206.48+230536.7,213.02707,23.09355
J141321.05+092204.9,213.33775,9.36801
J141617.23+360756.6,214.07177,36.13219
J142123.98+463317.9,215.34993,46.55499
J142240.79+212644.3,215.66998,21.44564
J142243.03+441721.3,215.67928,44.28926
J142543.31+540619.4,216.43054,54.10537
J142745.08-145149.2,216.93785,-14.8637
J142755.85-002951.0,216.98272,-0.49754
J142903.03-014519.3,217.26266,-1.75538
J143254.46-272227.9,218.22695,-27.37446
J143352.20+022714.0,218.46754,2.45388
J143943.06+491214.5,219.92939,49.20402
J143949.24-080705.5,219.95518,-8.11816
J144250.11+092001.5,220.70884,9.33376
J144340.70+585653.2,220.91959,58.94812
J144516.46+095836.0,221.3186,9.97669
J144542.76+490249.0,221.42818,49.04693
J144549.75-111015.5,221.45725,-11.17102
J144644.75+342610.2,221.68645,34.43619
J144706.80+212839.3,221.77835,21.47758
J144921.61+152028.8,222.34002,15.34134
J145147.04-151220.1,222.94605,-15.20562
J145239.19+542808.7,223.16325,54.46908
J145408.96+511443.7,223.53735,51.24549
J145559.42-252831.9,223.99762,-25.47558
J145910.12+425213.1,224.79223,42.87033
J150332.17+364118.1,225.88408,36.68835
J150605.36+340635.3,226.52232,34.10982
J150654.55+522004.7,226.72729,52.33465
J150726.32+440649.2,226.85967,44.11368
J150803.99+344007.1,227.01663,34.66867
J150944.06+561605.7,227.4337,56.26814
J151131.03+431730.6,227.87929,43.29183
J151426.97+340221.0,228.61242,34.03918
J151553.22+132925.3,228.97147,13.49072
J151616.52+320305.1,229.06887,32.05141
J151629.30+120008.4,229.12211,12.00237
J151823.16+260353.3,229.59656,26.06481
J151846.10+482245.6,229.69208,48.37936
J151853.21-115951.4,229.72173,-11.99765
J151917.10+573735.1,229.82126,57.62641
J152044.90+382512.6,230.18726,38.42004
J152305.27+590258.6,230.77196,59.0496
J152312.41-162722.8,230.80171,-16.45637
J152436.09+212309.3,231.15034,21.38587
J152856.27+150452.4,232.23448,15.08124
J153245.98-251048.3,233.19162,-25.18006
J153750.10+201035.5,234.45876,20.17657
J153815.64+814432.8,234.56486,81.7425
J154340.38+341744.5,235.91826,34.29568
J154400.15+531903.4,236.0007,53.31761
J154446.34+412035.7,236.19309,41.34325
J154637.13-023107.2,236.65473,-2.51878
J154910.50+605503.5,237.29378,60.91763
J154916.84-223746.5,237.32016,-22.62959
J155036.82+053750.4,237.65334,5.63058
J155228.24+011228.4,238.11766,1.20789
J155315.29-023228.1,238.31375,-2.54116
J155426.16+193702.9,238.60901,19.61751
J155600.10+401645.3,239.00044,40.27928
J155635.48+603726.6,239.14785,60.6241
J155841.84-040353.4,239.67439,-4.06484
J155912.34+482819.9,239.80143,48.47219
J160019.48-121702.8,240.08118,-12.2841
J160111.96-164341.6,240.29988,-16.72823
J160413.98+395121.8,241.05825,39.85608
J160608.99+484137.0,241.5375,48.69362
J160705.17+533558.6,241.77153,53.59962
J160924.93+210049.0,242.35389,21.01361
J161111.00-031150.9,242.79587,-3.19752
J161250.24+384030.8,243.20936,38.67524
J161550.56+144322.0,243.96072,14.7228
J161648.94-091444.4,244.20395,-9.24566
J161721.76+232559.2,244.34074,23.43314
J161737.77+595020.1,244.40744,59.83893
J162050.27+094135.2,245.20947,9.69311
J162116.92-004250.9,245.32051,-0.71414
J162331.14+481842.1,245.87979,48.3117
J162349.97-154427.5,245.95827,-15.74102
J162453.47+375806.7,246.22283,37.96851
J162520.31+225833.0,246.33467,22.9758
J162539.59-005341.2,246.415,-0.89476
