wise_designation,obs_sdss_ra,obs_sdss_dec,obs_psfmag_i,obs_tel,obs_date,obs_obs,obs_instrument,obs_class1,obs_class2,obs_z,obs_specfile,target,comment,ELQS_target,PS_ELQS_target,PS_ELQS_target_old
J202005.73-123258.3,305.023894,-12.54954553,18.13319,MMT,170518,Schindler,RedChannelSpectrograph,QSO,QSO,3.005,J2020-1232_alt,ELQS,J2020-1232,primary,,
J202043.90-023702.5,305.1829323,-2.61736587,17.74763889,SOAR,171008,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.585,J2020-0237,,,,priority_2,old_priority_2
J202442.94+001551.0,306.1788914,0.264209425,16.92031,MMT,170518,Schindler,RedChannelSpectrograph,STAR,K,-999.0,J2024+0015_alt,ELQS,J2024+0015,primary,,
J202640.56-005305.4,306.6690314,-0.8848199240000001,13.95788,MMT,170518,Schindler,RedChannelSpectrograph,STAR,K,-999.0,J2026-0053_alt,ELQS,J2026-0053,secondary,,
J202753.32-052223.7,306.9721653,-5.373193232999999,17.59763,BOK,161014,"Betsy Green, Jan-Torge Schindler",B&C ,QSO,QSO,3.005,J2027-0522,ELQS,,primary,,
J203034.85-254157.3,307.6452476,-25.69928123,18.10217302,SOAR,180604,Schindler,GoodmanHTS,QSO,QSO,2.7430000000000003,J2030-2541,5,,,,
J203315.45-055927.6,308.31413080000004,-5.99118848,18.62483243,SOAR,180604,Schindler,GoodmanHTS,STAR,M,-999.0,J2033-0559,Highz_Lukas,,,,
J203336.69-245615.7,308.4029138,-24.93773944,18.138543300000002,SOAR,171010,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.47,J2033-2456,,,,priority_4,old_priority_4
J203343.57-302309.7,308.4315524,-30.38606327,17.76263175,SOAR,171007,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.52,J2033-3023,,,,priority_1,old_priority_1
J203416.99-025953.3,308.570819,-2.99817578,18.26377637,SOAR,180602,Schindler,GoodmanHTS,QSO,QSO,3.09,J2034-0259,5,,,,
J203623.50-083727.7,309.0980255,-8.62497788,17.50915323,SOAR,171008,"Schindler, Yue",GoodmanHTS,QSO,QSO,2.895,J2036-0837,,,,priority_3,old_priority_3
J203628.04-282658.9,309.1168533,-28.44970342,18.02644873,SOAR,180602,Schindler,GoodmanHTS,CHECK,QSO,-999.0,J2036-2826,Highz_Lukas,,,,
J203649.37-060253.8,309.20608619999996,-6.04831978,20.3967911,SOAR,180604,Schindler,GoodmanHTS,CHECK,BAL,-999.0,J2036-2826_a,Highz_Lukas,,,,
J203700.25-173415.5,309.2510711,-17.57094858,17.59628,MMT,170518,Schindler,RedChannelSpectrograph,QSO,QSO,3.145,J2037-1734_alt,ELQS,J2037-1734,primary,,
J203705.96-134557.4,309.2748977,-13.76597241,18.13644,MMT,170518,Schindler,RedChannelSpectrograph,QSO,BAL,3.23,J2037-1345_alt,ELQS,J2037-1345,secondary,,
J203817.10+012147.5,309.57113760000004,1.36330639,17.56700286,SOAR,171009,"Schindler, Yue",GoodmanHTS,STAR,K,-999.0,J2038+0121,,,,priority_3,old_priority_3
J204123.60-165241.6,310.3490046,-16.87822042,18.13084,MMT,170518,Schindler,RedChannelSpectrograph,STAR,G,-999.0,J2041-1652_alt,ELQS,J2041-1652,secondary,,
J204220.23-083941.7,310.5843764,-8.66165017,18.39063825,SOAR,171010,"Schindler, Yue",GoodmanHTS,GALAXY,UNID,0.17,J2042-0839,,,,,old_priority_4
J204320.18-033841.0,310.83406139999994,-3.64470321,17.47549069,SOAR,171009,"Schindler, Yue",GoodmanHTS,QSO,QSO,2.925,J2043-0338,,,,priority_3,old_priority_3
J204634.90+041149.4,311.64545810000004,4.197078868999999,15.53096,MMT,170518,Schindler,RedChannelSpectrograph,STAR,K,-999.0,J2046+0411_alt,ELQS,J2046+0411,primary,,
J204837.76-011045.1,312.1573164,-1.17914905,19.04874737,SOAR,180604,Schindler,GoodmanHTS,STAR,M,-999.0,J2048-0110,Highz_Lukas,,,,
J204848.27-225152.0,312.20114010000003,-22.864484899999997,17.18142131,SOAR,171009,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.1,J2048-2251,,,,priority_3,old_priority_3
J205238.43-032700.1,313.16038430000003,-3.449908671,17.62394,MMT,170518,Schindler,RedChannelSpectrograph,STAR,F,-999.0,J2052-0327_alt,ELQS,J2052-0327,primary,,
J205426.04+021854.3,313.6084737,2.315118179,15.717139999999999,MMT,170518,Schindler,RedChannelSpectrograph,STAR,K,-999.0,J2054+0218_alt,ELQS,J2054+0218,primary,,
J205907.56+083644.1,314.78155939999994,8.612274894,18.37528,MMT,170518,Schindler,RedChannelSpectrograph,REOBS,QSO,3.17,J2059+0836_alt,ELQS,J2059+0836,secondary,,
J205915.76+004137.8,314.8154693,0.694184445,18.049120000000002,VATT,171111,"Schindler, Huang",VattSpec,REOBS,UNID,2.7,J2059+0041_a,,,,,
J210006.60+024233.7,315.0274896,2.7094179830000003,17.82957,MMT,170518,Schindler,RedChannelSpectrograph,QSO,QSO,3.725,J2100+0242_alt,ELQS,J2100+0242,primary,,
J210018.78-060655.0,315.07831219999997,-6.115302023,16.77208,BOK,161014,"Betsy Green, Jan-Torge Schindler",B&C ,NOTQSO,UNID,2.65,J2100-0606,ELQS,,secondary,,
J210351.49-262300.1,315.96458039999993,-26.38339538,17.54205124,SOAR,171006,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.455,J2103-2623,,,,priority_3,old_priority_3
J210443.40-094718.7,316.181042,-9.787965368,17.868879999999997,VATT,171111,"Schindler, Huang",VattSpec,STAR,M,-999.0,J2104-0947,,,,,
J210615.54-061545.8,316.5649815,-6.262288525,16.66075,VATT,161123,"Jan-Torge Schindler, Yun-Hsin Huang",VATTSpec,STAR,K,-999.0,J2106-0615,ELQS,,secondary,,
J210827.25-030847.8,317.1135809,-3.1465993930000002,18.050179999999997,VATT,180518,"Schindler, Littke, Hughes",VattSpec,QSO,BAL,2.825,J2108-0308_c,REOBS,,,,
J210846.95-020114.8,317.1956703,-2.020787963,17.572860000000002,BOK,161014,"Betsy Green, Jan-Torge Schindler",B&C ,QSO,QSO,3.46,J2108-0201,ELQS,,primary,,
J210911.26+080005.9,317.29695919999995,8.001655081000001,17.7203,VATT,151012,"Jennifer Kadowaki, Ya-Lin Wu, Jan-Torge Schindler",VATTSpec,UNID,UNID,-999.0,csdbimg0000.0001.fits,,,,,
J210955.83+160901.2,317.4830696,16.15049631,17.74778432,SOAR,171008,"Schindler, Yue",GoodmanHTS,STAR,M,-999.0,J2109+1609,,,,priority_1,old_priority_1
J211046.88+012118.4,317.6953079,1.35520153,17.64314,BOK,161115,"Betsy Green, Jan-Torge Schindler, Yun-Hsin Huang",B&C,STAR,K,-999.0,J2110+0121,ELQS,,secondary,,
J211108.46-002751.2,317.78524080000005,-0.464212047,17.34475,VATT,161123,"Jan-Torge Schindler, Yun-Hsin Huang",VATTSpec,QSO,QSO,1.26,J2111-0027,ELQS,,secondary,,
J211111.59-253615.0,317.79834950000003,-25.60417366,17.95756541,SOAR,171007,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.37,J2111-2536,,,,priority_2,old_priority_2
J211408.98-250831.8,318.53739269999994,-25.14217692,18.2254635,SOAR,171007,"Schindler, Yue",GoodmanHTS,GALAXY,UNID,0.235,J2114-2508,,,,,old_priority_3
J211446.91+164957.4,318.6951211,16.83291679,18.27404153,SOAR,171010,"Schindler, Yue",GoodmanHTS,STAR,G,-999.0,J2114+1649,,,,priority_3,old_priority_3
J211601.40-193123.5,319.0060059,-19.52293978,17.59594369,SOAR,171010,"Schindler, Yue",GoodmanHTS,STAR,G,-999.0,J2116-1931,,,,,old_priority_4
J211749.31+182707.2,319.4556011,18.45197802,17.3277,VATT,171112,"Schindler, Huang",VattSpec,NOTQSO,UNID,-999.0,J2117+1827,,,,,
J211859.19+133341.6,319.7466862,13.56086885,16.64065,BOK,161115,"Betsy Green, Jan-Torge Schindler, Yun-Hsin Huang",B&C,STAR,K,-999.0,J2118+1333,ELQS,,secondary,,
J212027.17+030840.9,320.11333260000004,3.14453205,17.63637796,SOAR,171008,"Schindler, Yue",GoodmanHTS,STAR,K,-999.0,J2120+0308,,,,,old_priority_2
J212540.97-171951.3,321.4206909,-17.33094704,16.42271041,SOAR,171010,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.9,J2125-1719_a,,,,priority_1,old_priority_1
J212651.97-103139.6,321.7165378,-10.52767113,18.21339564,SOAR,171008,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.87,J2126-1031,,,,priority_3,old_priority_3
J212716.48-040433.5,321.8186892,-4.075993700000001,18.47125956,SOAR,171010,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.545,J2127-0404,,,,priority_4,old_priority_4
J213050.10-244403.5,322.7087549,-24.7343068,18.01084081,SOAR,171009,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.38,J2130-2444,,,,priority_4,old_priority_4
J213225.90-283133.3,323.1079161,-28.52592476,17.76186367,SOAR,171009,"Schindler, Yue",GoodmanHTS,QSO,QSO,2.81,J2132-2831,,,,priority_3,old_priority_3
J213259.08+163029.1,323.24620689999995,16.50808961,17.85045,VATT,151011,"Jennifer Kadowaki, Ya-Lin Wu, Jan-Torge Schindler",VATTSpec,QSO,QSO,3.54,J2132+1630,ELQS,,primary,,
J213445.24-274939.7,323.68850069999996,-27.82770923,17.67554183,SOAR,171009,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.065,J2134-2749,,,,priority_3,old_priority_3
J213513.14+080301.2,323.80479130000003,8.050324721,17.43168,VATT,151011,"Jennifer Kadowaki, Ya-Lin Wu, Jan-Torge Schindler",VATTSpec,STAR,MV,-999.0,csdbimg0003.0001.fits,,,,,
J213649.75-012852.2,324.2073202,-1.481167761,17.73486,MMT,171021,Schindler,RedChannel,QSO,QSO,3.28,J2136-0128,,,primary,,
J214021.28+155652.7,325.08870930000006,15.94800817,18.39361384,MMT,171021,Schindler,RedChannel,GALAXY,UNID,-999.0,J2140+1556,,,,,old_priority_3
J214055.05-265811.2,325.22936519999996,-26.96978253,18.37551948,SOAR,171008,"Schindler, Yue",GoodmanHTS,GALAXY,UNID,0.255,J2140-2658,,,,,old_priority_3
J214229.25+195415.6,325.62161430000003,19.90477066,16.42914,VATT,151011,"Jennifer Kadowaki, Ya-Lin Wu, Jan-Torge Schindler",VATTSpec,GALAXY,UNID,-999.0,csdbimg0008.0001.fits,,,,,
J214307.27+140827.2,325.7802866,14.140917199999999,17.10724,BOK,161013,"Betsy Green, Jan-Torge Schindler",B&C ,GALAXY,GALAXY,-999.0,NAN,,,,,
J214322.98+123036.4,325.8458671,12.51069287,17.67652,MMT,171021,Schindler,RedChannel,GALAXY,UNID,-999.0,J2143+1230,,,primary,,
J214413.12+232722.1,326.05470539999993,23.45619189,18.44113424,VATT,171109,"Schindler, Huang",VattSpec,STAR,UNID,-999.0,J2144+2327,,,,,old_priority_4
J214651.05+092552.5,326.7132108,9.431497073,18.58389,MMT,151201,"Qian Yang, Jan-Torge Schindler",RedChannelSpectrograph,GALAXY,UNID,-999.0,ncsQ0072.fits,,,,,
J215258.53+030541.4,328.243895,3.094854615,18.0274,VATT,151012,"Jennifer Kadowaki, Ya-Lin Wu, Jan-Torge Schindler",VATTSpec,UNID,UNID,-999.0,csdbimg0002.0001.fits,,,,,
J215300.17-084951.3,328.25070310000007,-8.830917235,18.17514,VATT,171112,"Schindler, Huang",VattSpec,QSO,QSO,3.23,J2153-0849,,,,,
J215345.41+221125.2,328.4396833,22.190844600000002,15.827860000000001,BOK,161115,"Betsy Green, Jan-Torge Schindler, Yun-Hsin Huang",B&C,STAR,K,-999.0,J2153+2211,ELQS,,secondary,,
J215414.81+133256.9,328.56102830000003,13.54930395,16.12177,VATT,161122,"Jan-Torge Schindler, Yun-Hsin Huang",VATTSpec,STAR,K,-999.0,J2154+1332,ELQS,,secondary,,
J215558.29+022856.1,328.9929188,2.482256789,18.00243,MMT,171021,Schindler,RedChannel,QSO,QSO,3.535,J2155+0228,,,primary,,
J215610.96+175559.3,329.0456084,17.93273644,17.96527,VATT,171112,"Schindler, Huang",VattSpec,STAR,UNID,-999.0,J2156+1755,,,,,
J215729.58+043222.0,329.3735203,4.539104522,15.642479999999999,VATT,161123,"Jan-Torge Schindler, Yun-Hsin Huang",VATTSpec,STAR,K,-999.0,J2157+0432,ELQS,,secondary,,
J215743.62+233037.1,329.4317734,23.51037227,17.82721,NOT,170825,Fynbo,-,QSO,QSO,3.145,J2157+2330,ELQS,,primary,,
J215911.37+221431.6,329.7974294,22.24190471,17.8052,VATT,151011,"Jennifer Kadowaki, Ya-Lin Wu, Jan-Torge Schindler",VATTSpec,STAR,MV,-999.0,csdbimg0009.0001.fits,,,,,
J220011.92+285711.0,330.04956780000003,28.95241356,17.29111,VATT,161219,"Jan-Torge Schindler, Anna Patej",VATTSpec,STAR,K,-999.0,J2200+2857,ELQS,,secondary,,
J220122.20+163221.4,330.3427962,16.53955307,17.47776,VATT,161123,"Jan-Torge Schindler, Yun-Hsin Huang",VATTSpec,STAR,K,-999.0,J2201+1632,ELQS,,secondary,,
J220337.05-280751.7,330.9043443,-28.13124321,18.24556796,SOAR,180602,Schindler,GoodmanHTS,STAR,UNID,-999.0,J2203-2807,5,,,,
J220912.01+061920.1,332.30003569999997,6.32222583,17.25114306,SOAR,171008,"Schindler, Yue",GoodmanHTS,QSO,BAL,1.91,J2209+0619,,,,priority_2,old_priority_2
J221124.14+254327.1,332.8506156,25.72421099,17.07125,BOK,161115,"Betsy Green, Jan-Torge Schindler, Yun-Hsin Huang",B&C,QSO,QSO,2.805,J2211+2543,ELQS,,secondary,,
J221338.32-134936.1,333.4096517,-13.82672103,18.13341643,SOAR,171008,"Schindler, Yue",GoodmanHTS,NOTQSO,UNID,0.14,J2213-1349,,,,priority_3,old_priority_3
J221533.06+235554.5,333.8878573,23.93189879,17.36250762,MMT,171020,Schindler,RedChannel,QSO,QSO,3.065,J2215+2355_a,,,primary,priority_3,old_priority_3
J221610.72-000808.2,334.044716,-0.13560763,18.2125004,SOAR,171009,"Schindler, Yue",GoodmanHTS,GALAXY,UNID,0.25,J2216-0008,,,,priority_3,old_priority_3
J221652.88+304451.7,334.22038480000003,30.74773798,17.663729999999997,VATT,161219,"Jan-Torge Schindler, Anna Patej",VATTSpec,QSO,QSO,3.03,J2216+3044,ELQS,,primary,,
J221916.67-013527.8,334.8194595,-1.5910989709999999,18.93825,MMT,151201,"Qian Yang, Jan-Torge Schindler",RedChannelSpectrograph,NOTQSO,GALAXY,4.15,J2219-0135,ELQS,,secondary,,
J222152.88-182602.9,335.4703435,-18.43414964,17.79793467,SOAR,171010,"Schindler, Yue",GoodmanHTS,QSO,QSO,4.52,J2221-1826_a,,,,priority_1,old_priority_1
J222226.17-052914.8,335.6091935,-5.4874405170000005,17.94289,VATT,171112,"Schindler, Huang",VattSpec,QSO,QSO,3.2,J2222-0529,,,primary,,
J223000.01-262105.8,337.49999269999995,-26.35157676,17.91374295,SOAR,171008,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.14,J2230-2621,,,,priority_3,old_priority_3
J223000.07+050937.9,337.500295,5.16060808,18.96219,MMT,151105,"Feige Wan, Jinyi Yang, Jan-Torge Schindler",RedChannelSpectrograph,UNID,UNID,-999.0,nsQ0016.0001.fits,,,,,
J223049.46-215401.9,337.70615330000004,-21.90058108,18.30284704,SOAR,180602,Schindler,GoodmanHTS,QSO,QSO,3.605,J2230-2154,5,,,,
J223137.79+282411.6,337.907763,28.40309006,18.533260000000002,MMT,171021,Schindler,RedChannel,STAR,M,-999.0,J2231+2824,,,,,
J223239.48+131518.2,338.16449489999997,13.25503328,18.07838,MMT,171021,Schindler,RedChannel,QSO,QSO,3.49,J2232+1315,,,primary,,
J223252.17+343712.8,338.2173732,34.62022912,17.94700355,MMT,171020,Schindler,RedChannel,QSO,QSO,3.645,J2232+3437_a,,,primary,priority_1,old_priority_1
J223734.42-310714.2,339.3933662,-31.12057941,17.86507191,SOAR,171009,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.12,J2237-3107,,,,priority_3,old_priority_3
J223812.05+330546.1,339.5501651,33.09618537,17.56238957,MMT,171020,Schindler,RedChannel,QSO,QSO,3.025,J2238+3305_a,,,primary,priority_3,old_priority_3
J223953.67-055220.0,339.9736112,-5.872264733,17.79886,VATT,171110,"Schindler, Huang",VattSpec,QSO,QSO,4.56,J2239-0552,,,primary,,
J224008.91-062419.3,340.03724789999995,-6.40554864,18.44241707,SOAR,171009,"Schindler, Yue",GoodmanHTS,GALAXY,UNID,-999.0,J2240-0624,,,,,old_priority_3
J224052.66+144724.0,340.2198045,14.78956151,18.57483,MMT,151201,"Qian Yang, Jan-Torge Schindler",RedChannelSpectrograph,STAR,MV,-999.0,ncsQ0073.fits,,,,,
J224157.18+213904.0,340.4881593,21.6511463,17.042720000000003,BOK,161115,"Betsy Green, Jan-Torge Schindler, Yun-Hsin Huang",B&C,STAR,F,-999.0,J2241+2139,ELQS,,secondary,,
J224221.47-035458.3,340.5894674,-3.916220285,17.47521,MMT,171021,Schindler,RedChannel,QSO,QSO,3.16,J2242-0354_a,,,primary,,
J224457.58-074422.0,341.2402269,-7.7399936039999995,18.88915,MMT,151105,"Feige Wan, Jinyi Yang, Jan-Torge Schindler",RedChannelSpectrograph,STAR,KV,-999.0,nsQ0017.0001.fits,,,,,
J224602.24+272948.0,341.50935810000004,27.49667845,17.22061,VATT,161219,"Jan-Torge Schindler, Anna Patej",VATTSpec,QSO,QSO,3.02,J2246+2729,ELQS,,primary,,
J224610.79-064953.7,341.5449683,-6.831637497000001,17.91928,MMT,171021,Schindler,RedChannel,QSO,BAL,3.17,J2246-0649,,,primary,,
J224619.18-251720.9,341.5798612,-25.28910029,17.75716225,SOAR,171007,"Schindler, Yue",GoodmanHTS,QSO,QSO,2.9,J2246-2517,,,,priority_3,old_priority_3
J224917.53-035146.5,342.3231479,-3.8629033789999996,17.38729,VATT,161123,"Jan-Torge Schindler, Yun-Hsin Huang",VATTSpec,QSO,QSO,0.84,J2249-0351,ELQS,,secondary,,
J224936.24+201251.9,342.40126200000003,20.21465048,18.19872,VATT,171112,"Schindler, Huang",VattSpec,STAR,UNID,-999.0,J2249+2013,,blue edge overcorrected,,,
J225159.48+172844.6,342.99785099999997,17.47906645,17.37816,VATT,180518,"Schindler, Littke, Hughes",VattSpec,QSO,BAL,2.32,J2251+1728_c,REOBS,,,,
J225536.21-025736.3,343.90093239999993,-2.960124153,17.666829999999997,MMT,171020,Schindler,RedChannel,QSO,QSO,3.22,J2255-0257_a,,,primary,priority_3,old_priority_3
J225633.17-124359.7,344.1382262,-12.73323292,17.61585766,SOAR,171009,"Schindler, Yue",GoodmanHTS,QSO,QSO,2.825,J2256-1243,,,,priority_3,old_priority_3
J225643.44-024632.8,344.18104280000006,-2.7757863780000003,17.76057,VATT,151011,"Jennifer Kadowaki, Ya-Lin Wu, Jan-Torge Schindler",VATTSpec,QSO,BAL,2.4,J2256-0246,ELQS,,secondary,,
J225651.23+262649.3,344.2134349,26.44703758,18.43996,VATT,171112,"Schindler, Huang",VattSpec,QSO,BAL,3.37,J2256+2627_a,,,,,
J225820.94-281855.2,344.587262,-28.31534599,18.06888839,SOAR,171009,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.525,J2258-2818,,,,priority_4,old_priority_4
J225909.35+040055.8,344.7889585,4.015524399999999,17.68326,VATT,171110,"Schindler, Huang",VattSpec,QSO,BAL,2.87,J2259+0400,,data is real,primary,,
J225939.04+133506.7,344.9127418,13.58513839,17.75446,MMT,171020,Schindler,RedChannel,STAR,K,-999.0,J2259+1335,,,primary,,
J225939.04-225035.1,344.91267910000005,-22.84308301,17.43498477,SOAR,171007,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.47,J2259-2250,,,,priority_2,old_priority_2
J230022.02-144031.4,345.09176260000004,-14.67538079,18.27774283,SOAR,171008,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.85,J2300-1440,,,,priority_3,old_priority_3
J230029.26+182952.5,345.1221922,18.49800341,17.76566204,VATT,171109,"Schindler, Huang",VattSpec,STAR,K,-999.0,J2300+1829,,,,,old_priority_3
J230147.51-094210.3,345.4472878,-9.70327548,17.11286,BOK,161115,"Betsy Green, Jan-Torge Schindler, Yun-Hsin Huang",B&C,STAR,UNID,-999.0,J2301-0942,ELQS,,secondary,,
J230211.04+031344.4,345.5460379,3.229005986,17.765060000000002,MMT,171020,Schindler,RedChannel,QSO,QSO,3.44,J2302+0313_a,,,primary,priority_3,old_priority_3
J230432.31-124819.6,346.1346345,-12.80545691,18.13124782,SOAR,171007,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.85,J2304-1248,,,,priority_3,old_priority_3
J230454.75+285836.3,346.2283159,28.97690418,17.6405,MMT,171020,Schindler,RedChannel,STAR,K,-999.0,J2304+2858,,,primary,,
J230458.72-242623.9,346.24465289999995,-24.43998681,18.28580456,SOAR,171010,"Schindler, Yue",GoodmanHTS,NOTQSO,UNID,-999.0,J2304-2426,,,,,old_priority_4
